Extract Date,Source,Name,Value,Sheet,Ref,Table,Row,Col
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,Cash_III_CapitalExpenditure_III_BaseYear_minus_2_0,,Accounts,,Cash,CapitalExpenditure,BaseYear_minus_2
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_Row691_III_31_12_20_0,,Accounts,,PL,Row691,31_12_20
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,BS_III_Row1031_III_31_12_18_0,,Accounts,,BS,Row1031,31_12_18
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_AccountStatus_III_31_12_21_0,Projected,Accounts,,PL,AccountStatus,31_12_21
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_OtherOperatingExpenses_Gains_III_31_12_20_0,690.0,Accounts,,PL,OtherOperatingExpenses_Gains,31_12_20
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_OwnProduct_ServiceProducedAbroadsoldAbroad_III_31_12_22_0,,Accounts,,PL,OwnProduct_ServiceProducedAbroadsoldAbroad,31_12_22
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,Cash_III_Row1511_III_BaseYear_minus_2_0,,Accounts,,Cash,Row1511,BaseYear_minus_2
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_Depreciation_III_31_12_20_0,173.0,Accounts,,PL,Depreciation,31_12_20
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,Cash_III_CashFlowStatementFortheyearended_III_BaseYear_plus_1_0,,Accounts,,Cash,CashFlowStatementFortheyearended,BaseYear_plus_1
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,BS_III_Liabilities1Year_III_31_12_21_0,,Accounts,,BS,Liabilities1Year,31_12_21
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_OwnProduct_ServiceProducedSoldinIreland_III_31_12_25_0,2608.0,Accounts,,PL,OwnProduct_ServiceProducedSoldinIreland,31_12_25
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,Info_III_InvoicediscountingProjectedYearEndBalance_III_CurrentYear_0,,Accounts,,Info,InvoicediscountingProjectedYearEndBalance,CurrentYear
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,Cash_III_Row1881_III_BaseYear_plus_4_0,,Accounts,,Cash,Row1881,BaseYear_plus_4
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_Row601_III_31_12_20_0,,Accounts,,PL,Row601,31_12_20
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,Cash_III_Totalfundinginjection_III_BaseYear_plus_3_0,,Accounts,,Cash,Totalfundinginjection,BaseYear_plus_3
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,Cash_III_Ordequity_III_BaseYear_plus_2_0,0.0,Accounts,,Cash,Ordequity,BaseYear_plus_2
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,BS_III_FixedAssets_III_30_12_24_0,,Accounts,,BS,FixedAssets,30_12_24
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_OtherRDexpenditure_III_31_12_23_0,0.0,Accounts,,PL,OtherRDexpenditure,31_12_23
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,BS_III_PreferenceShares_III_31_12_18_0,,Accounts,,BS,PreferenceShares,31_12_18
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,Cash_III_Row1471_III_BaseYear_minus_1_0,,Accounts,,Cash,Row1471,BaseYear_minus_1
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_Row461_III_31_12_23_0,,Accounts,,PL,Row461,31_12_23
2023-10-12T16:24:48.846715737,Complex_Financial_2.xlsx,PL_III_TotalSales_III_31_12_19_0,3983.0,Accounts,,PL,TotalSales,31_12_19
